,Date,Govt,ESG,Shariah
557,2023-03-22,202615.20883585105,310511.4334890574,262389.81390793354
558,2023-03-23,202615.20883585105,310179.49348413973,262977.47306562203
559,2023-03-24,203472.13406119065,311765.42906319065,263124.3878550442
560,2023-03-27,198692.39558207427,312835.01352348074,262389.81390793354
561,2023-03-28,199054.20845499545,312318.66240472003,261508.32517140073
562,2023-03-29,198654.31001650362,317002.7046963354,262242.8991185115
563,2023-03-30,199568.3635901992,318809.93361199804,261655.23996082292
564,2023-03-31,202558.08048749514,323715.26924022526,262977.47306562215
565,2023-04-03,202996.0644915576,324047.20924514293,262389.8139079336
566,2023-04-04,204005.33197917978,321022.8669781157,263712.04701273283
567,2023-04-05,206138.1236511361,319289.40250799025,263271.30264446646
568,2023-04-06,206671.32156912517,320285.22252274316,263271.30264446646
569,2023-04-10,203338.83458169343,320654.0447504294,262095.98432908935
570,2023-04-11,203757.77580297057,321133.5136464215,263858.96180215495
571,2023-04-12,203548.30519233202,320027.0469633628,263712.04701273283
572,2023-04-13,201948.7114383648,323678.38701745676,263565.1322233107
573,2023-04-14,200101.56150818834,322571.92033439793,263124.3878550443
574,2023-04-17,197721.2136600228,323678.38701745676,262683.64348677784
575,2023-04-18,198425.7966230798,324047.209245143,264152.7913809992
576,2023-04-19,198235.36879522653,323825.9159085312,262536.7286973557
577,2023-04-20,199930.17646312038,322055.5692156372,263565.1322233107
578,2023-04-21,198806.65227878626,322387.50922055484,263565.1322233107
579,2023-04-24,200729.973340104,322571.920334398,263712.0470127328
580,2023-04-25,203681.6046718293,317187.11581017874,264152.79138099914
581,2023-04-26,201510.72743430233,315896.2380132769,263418.21743388847
582,2023-04-27,199511.23524184327,322645.68477993534,263124.3878550442
583,2023-04-28,202729.46553256307,325706.90926973126,264446.6209598434
