,Date,CNY,INR,USD
209,2021-11-01,313351.1348464623,294027.565084227,307552.3327404567
210,2021-11-02,314052.0694259016,294027.565084227,307141.87987412745
211,2021-11-03,313284.37917222996,294027.565084227,306649.3364345324
212,2021-11-04,314919.8931909215,294486.9831546711,305541.11369544367
213,2021-11-05,314819.75967957306,294027.565084227,305705.2948419753
214,2021-11-08,313918.5580774369,294027.565084227,304514.9815296207
215,2021-11-09,313618.15754339145,293568.1470137829,303406.7587905319
216,2021-11-10,316588.7850467292,293568.1470137829,304432.89095635485
217,2021-11-11,317690.25367156236,293568.1470137829,305376.93254891195
218,2021-11-12,317523.3644859815,293568.1470137829,305048.5702558485
219,2021-11-15,318457.94392523385,293108.7289433388,305130.66082911444
220,2021-11-16,320160.2136181578,293108.7289433388,305541.1136954436
221,2021-11-17,319859.81308411236,293568.1470137829,305623.20426870947
222,2021-11-18,318891.8558077439,293108.7289433388,304802.2985360512
223,2021-11-19,320660.8811749001,293568.1470137829,304432.8909563549
224,2021-11-22,322096.1281708948,293568.1470137829,304966.47968258284
225,2021-11-23,322062.7503337786,293108.7289433388,305500.0684088108
226,2021-11-24,323230.9746328441,293568.1470137829,305582.1589820766
227,2021-11-26,320727.6368491325,293568.1470137829,305828.43070187414
228,2021-11-29,321562.08277703635,293568.1470137829,307757.5591736213
229,2021-11-30,320393.85847797093,293568.1470137829,308044.8761800517
230,2021-12-01,320594.12550066784,292189.8928024506,308044.8761800517
231,2021-12-02,320861.14819759707,292649.31087289465,307921.74032015295
232,2021-12-03,320827.77036048094,293108.72894333873,307757.55917362135
233,2021-12-06,321395.1935914556,293108.72894333873,308783.6913394443
234,2021-12-07,321662.2162883848,292649.3108728946,309440.415925571
235,2021-12-08,320060.0801068094,292649.3108728946,309522.5064988368
236,2021-12-09,321328.43791722326,291271.05666156224,309399.37063893804
237,2021-12-10,320594.12550066784,293108.7289433387,310302.36694486224
238,2021-12-13,321495.327102804,292189.89280245046,310753.86509782437
239,2021-12-14,322329.77303070785,292649.31087289454,311246.4085374194
240,2021-12-15,322129.50600801094,292649.31087289454,312149.4048433436
241,2021-12-16,320560.74766355165,292649.31087289454,312806.1294294703
242,2021-12-17,322329.77303070785,292649.31087289454,312641.9482829386
243,2021-12-20,322263.0173564756,292649.31087289454,311985.22369681194
244,2021-12-21,322062.7503337786,292649.31087289454,310959.091530989
245,2021-12-22,320694.2590120163,292649.31087289454,310671.7745245585
246,2021-12-23,320493.9919893194,292649.31087289454,309727.73293200135
247,2021-12-27,320727.6368491325,292649.31087289454,309153.0989191405
248,2021-12-28,321094.79305741016,292649.31087289454,307757.55917362135
249,2021-12-29,320193.59145527397,292649.31087289454,306813.5175810642
250,2021-12-30,320327.10280373855,292649.31087289454,306074.7024216716
251,2021-12-31,319325.7676902539,292649.31087289454,305500.0684088108
252,2022-01-03,321228.30440587475,291730.4747320063,305828.43070187414
253,2022-01-04,321395.1935914555,292189.89280245046,305376.932548912
254,2022-01-05,321061.4152202939,291730.4747320063,305910.52127513994
255,2022-01-06,321261.6822429908,291730.4747320063,305500.06840881077
256,2022-01-07,319559.4125500669,293108.7289433386,305459.0231221778
257,2022-01-10,320393.85847797076,293108.7289433386,304843.343822684
258,2022-01-11,319158.8785046731,292649.31087289454,303981.3928033927
259,2022-01-12,317089.45260347147,292649.31087289454,302996.30592420266
260,2022-01-13,316388.51802403224,292189.89280245046,302914.2153509368
261,2022-01-14,317656.8758344461,292189.89280245046,303611.98522369645
262,2022-01-18,319526.0347129508,291730.4747320063,304802.2985360511
263,2022-01-19,318791.7222963954,291730.4747320063,306279.9288548362
264,2022-01-20,319559.41255006695,291271.05666156224,305582.15898207657
265,2022-01-21,319225.6341789054,291271.05666156224,305582.15898207657
266,2022-01-24,320160.2136181577,291271.05666156224,305417.97783554485
267,2022-01-25,320260.3471295062,290811.63859111816,306362.019428102
268,2022-01-26,322062.7503337785,290811.63859111816,306936.6534409629
269,2022-01-27,324632.84379172244,290352.2205206741,307388.15159392497
270,2022-01-28,324666.22162883857,292649.3108728946,308701.60076617834
271,2022-01-31,322229.6395193593,291730.4747320064,308003.8308934188
